Dataset,Deep_Accuracy,Deep_Balanced_Accuracy,Deep_Precision,Deep_Recall,Deep_F1,Deep_F1_Macro,Deep_MCC,Deep_Kappa,Deep_ROC_AUC,Random Forest_Accuracy,Random Forest_F1,Random Forest_MCC,XGBoost_Accuracy,XGBoost_F1,XGBoost_MCC
NSL-KDD,0.9995634054375868,0.6153647599323082,0.999474243806491,0.9995634054375868,0.9994478752912644,0.6763614027589476,0.41587924672161525,0.35278402469810444,0.9204315658926097,0.9997221670966462,0.9996891055408846,0.6862877219302838,0.9996824766818814,0.9996348670956178,0.6288418740151337
UNSW-NB15,0.8248,0.7723724463245766,0.833043265943002,0.8248,0.8148897274018776,0.790546032148028,0.6114553868585474,0.5878372659194444,0.8844513007198465,1.0,1.0,1.0,1.0,1.0,1.0
CIC-IDS-2017,0.99755,0.9976836532097948,0.9975626741976352,0.99755,0.9975503326535708,0.9975424983225356,0.9950970455734109,0.9950850262375343,0.9994544637516236,0.9998,0.9998000011558348,0.9995986886076512,0.99995,0.9999499998551419,0.9998996704110289
