Dataset,Deep_Accuracy,Deep_Precision,Deep_Recall,Deep_F1,Random Forest_F1,Random Forest_Accuracy,XGBoost_F1,XGBoost_Accuracy
UNSW-NB15,0.8229,0.8371088278048326,0.8229,0.8113312439772294,0.9998999970313084,0.9999,1.0,1.0
CIC-IDS-2017,0.9989,0.9989021194049362,0.9989,0.9989000581314478,1.0,1.0,0.9999500001345121,0.99995
